reef_name,lat,lon,sector,year_before,year_after,coral_before,coral_after,change,pct_change
THREE ISLANDS REEF,-15.116667,145.425,CL,2006,2013,42.3,47.933,5.63,13.3
HARRIER REEF,-15.133333,145.691667,CL,2017,2021,8.906,30.0,21.09,236.9
MACKAY REEFS,-15.15,145.575,CL,2010,2021,10.0,6.071,-3.93,-39.3
FORRESTER REEF,-15.166667,145.5,CL,2021,2023,26.165,41.864,15.7,60.0
MARX REEF,-15.2,145.616667,CL,2015,2023,11.371,45.65,34.28,301.5
STARTLE (EAST),-15.208333,145.55,CL,2015,2021,4.744,8.704,3.96,83.5
SWINGER REEF,-15.241667,145.533333,CL,2021,2023,25.781,39.338,13.56,52.6
RIBBON NO 6 REEF,-15.283333,145.75,CL,2015,2017,22.409,10.727,-11.68,-52.1
15034S,-15.316667,145.766667,CL,2017,2021,13.793,35.121,21.33,154.6
BOULDER REEF,-15.416667,145.425,CL,2021,2023,25.952,31.53,5.58,21.5
15047S,-15.466667,145.683333,CL,2011,2013,22.5,20.104,-2.4,-10.6
EGRET REEF,-15.475,145.416667,CL,2021,2023,9.167,15.784,6.62,72.2
RIBBON NO 3 REEF,-15.483333,145.8,CL,2015,2021,23.299,24.067,0.77,3.3
15077S,-15.558333,145.65,CL,2015,2021,15.915,25.905,9.99,62.8
RIBBON NO 1 REEF,-15.608333,145.8,CL,2015,2021,19.032,35.303,16.27,85.5
ROSSER REEF,-15.616667,145.516667,CL,2009,2011,30.212,33.504,3.29,10.9
IRENE REEF,-15.65,145.716667,CL,2015,2023,13.705,19.882,6.18,45.1
LENA REEF,-15.65,145.8,CL,2021,2023,39.128,38.237,-0.89,-2.3
RUBY REEF,-15.75,145.783333,CA,2002,2005,25.152,24.768,-0.38,-1.5
ANDERSEN REEF,-15.791667,145.8,CA,2019,2023,23.514,39.507,15.99,68.0
RACHEL CARSON REEF,-15.825,145.816667,CA,2020,2021,20.579,30.357,9.78,47.5
PICKERSGILL REEF,-15.875,145.583333,CA,2020,2021,17.667,34.784,17.12,96.9
ESCAPE (1),-15.883333,145.791667,CA,2003,2007,28.75,20.703,-8.05,-28.0
EVENING REEF,-15.908333,145.658333,CA,2021,2022,25.95,28.627,2.68,10.3
AGINCOURT REEFS (NO 4),-15.95,145.816667,CA,2002,2005,28.159,23.891,-4.27,-15.2
MORNING REEF,-15.975,145.666667,CA,2009,2022,24.844,28.466,3.62,14.6
AGINCOURT REEFS (NO 3),-15.991667,145.825,CA,2003,2007,26.094,24.932,-1.16,-4.5
16013A,-16.013333,145.791667,CA,2020,2021,21.389,24.375,2.99,14.0
16013B,-16.013333,145.8,CA,2020,2021,25.357,64.531,39.17,154.5
16013C,-16.03,145.803333,CA,2020,2021,3.75,22.5,18.75,500.0
MACKAY REEF,-16.05,145.65,CA,2022,2023,44.946,32.031,-12.91,-28.7
AGINCOURT REEFS (NO 1),-16.05,145.858333,CA,2021,2023,30.993,45.313,14.32,46.2
16017S,-16.083333,145.725,CA,2013,2019,20.147,13.833,-6.31,-31.3
ST CRISPIN REEF,-16.108333,145.833333,CA,2021,2023,21.677,14.942,-6.73,-31.1
UNDINE REEF (WEST),-16.125,145.666667,CA,1995,2007,13.038,4.356,-8.68,-66.6
RUDDER REEF,-16.2,145.7,CA,2005,2007,15.781,18.171,2.39,15.1
CHINAMAN REEF(16024),-16.208333,145.8,CA,2013,2019,20.163,10.743,-9.42,-46.7
OPAL (2),-16.216667,145.891667,CA,2019,2021,7.8,11.282,3.48,44.6
TONGUE (2),-16.316667,145.816667,CA,2005,2007,2.794,3.468,0.67,24.1
LOW ISLANDS REEF,-16.383333,145.566667,CA,2022,2023,41.211,39.234,-1.98,-4.8
NORMAN REEF,-16.433333,146.0,CA,2020,2021,18.854,17.643,-1.21,-6.4
SAXON REEF,-16.466667,145.983333,CA,2007,2017,14.375,30.5,16.12,112.2
HASTINGS REEF,-16.516667,146.016667,CA,2022,2023,16.563,24.631,8.07,48.7
HOPE REEF(16058),-16.53,146.125,CA,2006,2007,38.672,33.125,-5.55,-14.3
PIXIE REEF,-16.55,145.858333,CA,2007,2010,20.208,44.25,24.04,119.0
MICHAELMAS REEF,-16.583333,146.016667,CA,2021,2023,9.44,13.839,4.4,46.6
OYSTER REEF,-16.633333,145.933333,CA,2005,2007,6.463,4.214,-2.25,-34.8
VLASOFF REEF,-16.65,146.0,CA,2013,2019,8.816,4.924,-3.89,-44.1
UPOLU REEF,-16.675,145.933333,CA,2004,2007,2.708,2.417,-0.29,-10.7
EUSTON REEF,-16.691667,146.25,CA,2004,2009,18.889,13.571,-5.32,-28.2
ARLINGTON REEF,-16.716667,146.066667,CA,2018,2020,7.417,8.75,1.33,18.0
FLYNN REEF,-16.733333,146.275,CA,2009,2020,19.565,9.271,-10.29,-52.6
GREEN ISLAND REEF,-16.758333,145.98,CA,2022,2023,20.441,18.698,-1.74,-8.5
THETFORD REEF,-16.808333,146.191667,CA,2022,2023,30.756,26.22,-4.54,-14.7
MOORE REEF,-16.866667,146.233333,IN,2020,2021,7.097,11.656,4.56,64.2
FITZROY ISLAND REEF,-16.925,145.983333,CA,2022,2023,35.594,30.833,-4.76,-13.4
SCOTT REEF,-17.075,146.183333,IN,2009,2021,20.712,9.706,-11.01,-53.1
NOGGIN REEF,-17.133333,146.466667,IN,2007,2009,12.328,15.56,3.23,26.2
FLORA REEF,-17.183333,146.291667,IN,2007,2017,13.098,15.45,2.35,18.0
NORMANBY-MABEL REEF,-17.208333,146.083333,IN,2007,2013,16.103,8.125,-7.98,-49.5
HEDLEY REEF,-17.233333,146.483333,IN,2020,2023,6.047,15.391,9.34,154.5
MCCULLOCH,-17.283333,146.45,IN,2018,2020,4.194,3.589,-0.6,-14.4
WARDLE REEF,-17.45,146.541667,IN,2017,2021,11.164,12.974,1.81,16.2
PEART REEF,-17.483333,146.391667,IN,2022,2023,10.2,27.188,16.99,166.5
FEATHER REEF,-17.533333,146.383333,IN,2022,2023,17.075,25.769,8.69,50.9
GILBEY REEF,-17.583333,146.583333,IN,2005,2017,18.561,26.667,8.11,43.7
HUTCHISON REEF,-17.675,146.166667,IN,1998,2002,27.679,4.167,-23.51,-84.9
JESSIE-KENT REEF,-17.676667,146.175,IN,2002,2013,7.292,2.368,-4.92,-67.5
POTTER REEF (NO 1),-17.7,146.55,IN,2015,2016,28.576,33.887,5.31,18.6
ELLISON REEF,-17.725,146.4,IN,2015,2019,17.553,9.312,-8.24,-46.9
FARQUHARSON REEF (NO 1),-17.783333,146.516667,IN,2020,2023,9.331,12.313,2.98,32.0
TAYLOR REEF,-17.833333,146.55,IN,2022,2023,13.852,14.873,1.02,7.4
BEAVER REEF,-17.85,146.483333,IN,2015,2019,18.836,12.833,-6.0,-31.9
MOSS REEF,-17.95,146.8,IN,2005,2017,42.273,28.31,-13.96,-33.0
18023S,-18.141667,146.975,TO,2007,2013,8.472,11.625,3.15,37.2
MYRMIDON REEF,-18.266667,147.391667,TO,2022,2023,45.875,49.016,3.14,6.8
BRAMBLE REEF,-18.416667,146.708333,TO,2003,2007,2.475,6.864,4.39,177.3
DIP REEF,-18.416667,147.458333,TO,2022,2023,26.397,33.011,6.61,25.1
FARADAY REEF,-18.425,147.358333,TO,2002,2003,23.879,20.809,-3.07,-12.9
ROXBURGH REEF,-18.433333,147.066667,TO,2020,2023,34.674,31.65,-3.02,-8.7
KELSO REEF,-18.441667,146.991667,TO,2022,2023,40.182,37.313,-2.87,-7.1
LITTLE KELSO REEF,-18.475,147.0,TO,2021,2023,24.556,26.912,2.36,9.6
RIB REEF,-18.483333,146.883333,TO,2022,2023,24.441,21.694,-2.75,-11.2
FORE AND AFT REEF,-18.5,147.033333,TO,2016,2018,24.769,25.991,1.22,4.9
HOPKINSON REEF,-18.558333,147.191667,TO,2002,2003,27.331,21.25,-6.08,-22.2
YANKEE REEF,-18.566667,147.491667,TO,2002,2003,14.477,17.5,3.02,20.9
KNIFE REEF,-18.583333,147.558333,TO,2020,2022,28.78,48.911,20.13,69.9
FORK REEF,-18.616667,147.558333,TO,2018,2020,22.929,35.811,12.88,56.2
JOHN BREWER REEF,-18.633333,147.058333,TO,2022,2023,23.225,25.688,2.46,10.6
HELIX REEF,-18.633333,147.3,TO,2020,2023,49.25,53.603,4.35,8.8
GRUB REEF(18077),-18.633333,147.425,TO,2018,2020,9.05,12.843,3.79,41.9
CHICKEN REEF,-18.658333,147.708333,TO,2022,2023,38.804,35.806,-3.0,-7.7
FANTOME (EUMILLI) ISLAND REEF,-18.675,146.516667,TO,2003,2007,4.068,6.081,2.01,49.5
LODESTONE REEF,-18.7,147.1,TO,2002,2003,14.803,3.804,-11.0,-74.3
CENTIPEDE REEF,-18.725,147.541667,TO,2018,2020,12.5,14.216,1.72,13.7
KEEPER REEF,-18.75,147.266667,TO,2002,2003,24.615,5.4,-19.21,-78.1
LYNCHS REEF,-18.775,147.708333,TO,2006,2010,3.158,4.609,1.45,45.9
WHEELER REEF,-18.808333,147.525,TO,2021,2023,69.375,65.95,-3.42,-4.9
DAVIES REEF,-18.825,147.641667,TO,2022,2023,52.898,48.958,-3.94,-7.4
HAVANNAH REEF,-18.85,146.541667,TO,2017,2023,27.13,25.806,-1.32,-4.9
SAVILLE-KENT REEF,-18.858333,147.891667,TO,2015,2021,7.991,16.125,8.13,101.8
VIPER REEF,-18.866667,148.141667,CU,2011,2021,7.87,48.103,40.23,511.2
SHRIMP REEF,-18.95,148.083333,CU,2007,2021,12.594,31.988,19.39,154.0
(LITTLE) BROADHURST REEF,-18.966667,147.7,TO,2003,2004,7.031,4.414,-2.62,-37.2
JAGUAR REEF,-18.983333,148.425,CU,2021,2022,37.27,47.5,10.23,27.4
BOWDEN REEF,-19.033333,147.933333,CU,2022,2023,28.013,32.07,4.06,14.5
SHELL REEF,-19.066667,148.183333,CU,2007,2021,17.5,35.75,18.25,104.3
JACQUELINE REEF,-19.216667,148.9,CU,2015,2021,7.077,34.941,27.86,393.7
KANGAROO REEF (EAST),-19.25,148.625,CU,1999,2002,20.933,15.417,-5.52,-26.4
KANGAROO REEF (WEST),-19.258333,148.55,CU,2002,2022,23.646,38.319,14.67,62.1
FAITH REEF,-19.283333,148.35,CU,2021,2022,27.059,32.674,5.61,20.8
