reef_name,sector,lat,lon,latest_coral_pct
LANGFORD-BIRD REEF,WH,-20.091667,148.875,12.578
EDGELL REEFS (NO 5),PO,-20.141667,149.941667,8.938
BORDER ISLAND REEF (NO 1),WH,-20.175,149.025,10.227
CANNAN REEF,PO,-20.483333,150.141667,17.024
PACKER REEFS,PO,-20.483333,150.208333,32.667
CREAL REEF,PO,-20.533333,150.383333,47.596
CREDLIN REEFS (EAST),PO,-20.541667,149.95,11.27
BRIGGS REEF (NO 4),PO,-20.683833,150.4515,29.167
20348S,PO,-20.891667,150.958333,31.706
TERN REEF(20309),PO,-20.908333,150.033333,32.574
POMPEY REEF (NO 1),PO,-20.941667,150.533333,34.013
20353S,PO,-20.966667,150.916667,60.323
20354S,PO,-20.975,150.95,48.58
POMPEY REEF (NO 2),PO,-20.991667,150.525,16.611
PENRITH REEF,PO,-21.016667,149.9,17.076
21060S,PO,-21.016667,150.608333,34.881
21591S,PO,-21.025833,150.373,29.107
21062S,PO,-21.033333,150.866667,34.851
21064S,PO,-21.058333,150.775,22.2
21104S,PO,-21.1,151.241667,31.927
21278S,SW,-21.108333,152.55,32.176
21074S,PO,-21.158333,150.85,38.919
